date,unemployment_rate,gdp_growth,stock_index,retail_sales
2020-01-01,2.64901424590337,-3.138264301171185,819.4306561430208,37069.089569224074
2020-01-02,2.454753987582999,-3.2341369569491807,847.3763844652217,34802.30418745873
2020-01-03,2.4091576842195144,-2.4574399564140355,786.0974692156261,31102.81073928923
2020-01-04,2.64758868146981,-4.913280244657798,748.252465024609,30813.137412277083
2020-01-05,2.296150663899673,-2.685752667404726,772.7592777343636,28263.088895994126
2020-01-06,3.064694630676466,-3.225776300486536,802.0258461406377,28225.75544135963
2020-01-07,2.486685182642445,-2.8890774102901338,765.4701926773309,33627.094055037014
2020-01-08,2.4948083930243583,-3.291693749793277,781.9488016331181,38056.834553526816
2020-01-09,2.69595083257862,-4.057710928955901,824.6763473630957,28837.469050086933
2020-01-10,2.787659078501427,-4.959670123879776,760.1544185330471,33090.58370760737
2020-01-11,2.971539973998623,-2.8286317188100294,796.5305515283528,31596.688913232134
2020-01-12,2.3314434028897715,-3.7198442083947088,786.1808368712063,35671.36667865675
2020-01-13,2.9030854868705385,-4.763040155362734,809.7225190818439,31344.75315875105
2020-01-14,2.6219233999082125,-2.3883237111591322,830.9299856748785,35293.8403573486
2020-01-15,2.5982347430332084,-3.3092123758512146,809.9379029421069,35426.63538136708
2020-01-16,2.731247728646413,-3.185658976663817,766.8099507798191,28911.380127757988
2020-01-17,3.143757746718259,-1.643759971429177,797.83969635259,35510.598693676075
2020-01-18,3.03349080751429,-3.6451197546051244,810.8418681652524,37114.10969939791
2020-01-19,2.9392521882670146,-1.4353563441859938,721.4076468773077,34965.70751312567
2020-01-20,3.0011141204714513,-3.2990073504658675,802.7528232960651,26537.29325619732
2020-01-21,2.9340984336487463,-2.6428874284882538,844.3368213422455,30945.189345179057
2020-01-22,2.782451919132044,-3.5017570435845364,827.4620635310622,33486.25332897905
2020-01-23,2.8910719388698882,-2.486732566886644,802.9123264804413,35405.93497159867
2020-01-24,2.8643840718367946,-3.3276621465977683,788.2367554060353,28109.455155603646
2020-01-25,3.188836083119373,-2.738944727820111,800.1534036992738,31796.23859987456
2020-01-26,2.700388777384876,-3.420645322765359,789.7185645041969,30093.168192335143
2020-01-27,3.101614286500197,-2.5959491431854618,856.585577036316,33023.73343849552
2020-01-28,3.252265117216829,-3.074445915766167,742.4368635410287,32420.45837365235
2020-01-29,3.218069062982308,-0.5367578875147139,794.2291710565663,33404.64202700084
2020-01-30,3.214586469088427,-4.168678037619532,834.2846844354506,34755.79909806032
2020-01-31,3.4873095841129143,-3.909387454794739,842.083829328083,28294.44681162316
2020-02-01,3.451057128140081,-0.8095443741900215,770.2839102460794,30801.106811191683
2020-02-02,3.329895409526292,-3.5034756541161993,753.480097068016,32705.688924418082
2020-02-03,3.0063088858821687,-2.5264075693648183,772.4172729729859,37149.80321505262
2020-02-04,3.115024012299129,-3.3220615162056757,824.4055165210901,28807.407050698133
2020-02-05,3.4432379803812387,-1.692857245717572,751.7755029631631,33053.901575596916
2020-02-06,3.477964838274527,-2.2181771282226896,762.8914786736575,28538.630160747172
